List of Listed Companies & Contact Information,,,,,,As of 08 May 2023,,,
Symbol,Company,Market,Industry,Sector,Address,Zip code,Tel.,Fax,Website
ACC,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"944 Mitrtown Office Tower Unit 1606, 16th floor, Rama 4 Road, Wangmai, Pathumwan Bangkok",10330,0-2219-1642,0-2219-1662,http://acc-plc.com
ACE,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"140/6 ITF Tower 7th Floor Silom Rd., Suriyawong, Bangrak Bangkok",10500,0-2233-2559,-,http://www.ace-energy.co.th
ACG,AUTOCORP HOLDING PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"1111 Moo 1 Maliwan Road, Bantum Sub-District, Muang District Khon Kaen",40000,0-4330-6444,0-4330-6448,www.autocorpgroup.com
ADB,APPLIED DB PUBLIC COMPANY LIMITED,mai,Industrial,-,"252 Moo 4, Sukhumvit Road, Praksa, Muang Samutprakarn Samut Prakarn",10280,0-2709-4040-9,0-2323-9195,http://www.adb.co.th
ADD,ADDTECH HUB PUBLIC COMPANY LIMITED,mai,Services,-,"1 Empire Tower, 41st Floor, Unit 4106-7, South Sathorn Road, Yannawa, Sathorn Bangkok",10120,0-2835-3957-8,0-2835-3959,https://www.addtechhub.com
ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"AIS TOWER 1, 414 PHAHOLYOTHIN ROAD, PHAYA THAI Bangkok",10400,0-2029-5000,0-2029-5165,http://investor.ais.co.th
AEONTS,AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"EXCHANGE TOWER, FLOOR 27, 388 SUKHUMVIT ROAD, KHLONG TOEI Bangkok",10110,"0-2665-0123,0-2302-4400",-,www.aeon.co.th
AF,AIRA FACTORING PUBLIC COMPANY LIMITED,mai,Financials,-,"NO. 188 Spring Tower, 12 A Floor, Phayathai Road, ThungPhayathai Sub-District, Ratchathewi District Bangkok",10400,0-2657-6222,"0-2657-6244,0-2657-6245",http://www.airafactoring.co.th
AFC,ASIA FIBER PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,"WALL STREET TOWER,FLOOR 27,33/133-136 SURAWONG ROAD, BANG RAK Bangkok",10500,0-2632-7071-85,0-2236-1982,www.asiafiber.com
AGE,ASIA GREEN ENERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"273/1 Rama II Road, Samaedam, Bangkhuntien Bangkok",10150,0-2894-0088,"0-2894-0044, 0-2894-4267",www.age.co.th
AH,AAPICO HITECH PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"99 MOO 1 HITECH INDUSTRIAL ESTATE TAMBON BAN LANE, AMPHUR BANG PA-IN Ayutthya",13160,0-3535-0880,0-3535-0881,www.aapico.com
AHC,AIKCHOL HOSPITAL PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"68/3 MOO 2, PHRAYASATJA ROAD, AMPHOE MUANG Chonburi",20000,"0-3827-3840-7, 0-3879-2500, 0-3879-2555",0-3827-3848,www.aikchol.com
AI,ASIAN INSULATORS PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"254, SERI THAI ROAD, KHAN NA YAO Bangkok",10230,"0-2517-1451, 0-2517-1026, 0-2517-9447-8",0-2517-1465,http://www.asianinsulators.com
AIE,AI ENERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"55/2 Moo 8 Sethakit 1 Rd., Klong Maduea, Krathum Baen Samut Sakhon",74110,0-3487-7485-8,0-3487-7491-2,www.aienergy.co.th
AIMCG,AIM COMMERCIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"Unit 803, 8th floor,Tower B, GPF Witthayu Building, No. 93/1, Witthayu Road, Lumpini, Pathumwan Bangkok",10330,0-2254-0441-2,-,www.aimcgreit.com
AIMIRT,AIM INDUSTRIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"Unit 803, 8th floor,Tower B, GPF Witthayu Building, No. 93/1, Witthayu Road, Lumpini, Pathumwan Bangkok",10330,0-2254-0441-2,-,www.aimirt.com
AIRA,AIRA CAPITAL PUBLIC COMPANY LIMITED,mai,Financials,-,"319 Chamchuri Square Building. 12th Floor, Phayathai Road, Pathumwan Bangkok",10330,0-2080-2999,0-2160-5395,https://www.airacapital.co.th
AIT,"ADVANCED INFORMATION TECHNOLOGY PUBLIC CO.,LTD.",SET,Technology,Information & Communication Technology,"37/2 SUTHISARN ROAD, SAMSAENNOK, HUAI KHWANG Bangkok",10320,0-2275-9400,"0-2275-9100, 0-2275-9200",www.ait.co.th
