List of Listed Companies & Contact Information,,,,,,As of 08 May 2023,,,
Symbol,Company,Market,Industry,Sector,Address,Zip code,Tel.,Fax,Website
EGCO,ELECTRICITY GENERATING PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"EGCO TOWER,222 MOO 5,VIBHAVADI RANGSIT ROAD, THUNGSONGHONG, LAK SI Bangkok",10210,"0-2998-5000, 0-2998-5999",0-2955-0956-9,http://www.egco.com
EKH,EKACHAI MEDICAL CARE PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"99/9 Moo 4, Ekachai Road, Khok-kham, Muang Samutsakhon, Samut Sakhon",74000,0-3441-7999 ˃׍ 1715,0-3441-7903,www.ekachaihospital.com
EMC,EMC PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"ITF TOWER, 28/30 FLOOR, 140/66-67 SILN ROAD SURIYAWONG, BANG RAK Bangkok",10500,0-2615-6100,0-2615-6128-30,www.emc.co.th
EP,EASTERN POWER GROUP PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"51/29,51/61 Soi Wiphawadee66 (Siamsamakee), Talad Bangkhen, Laksi Bangkok",10210,0-2551-0541-4,"0-2552-0905, 0-2551-0532",http://www.epco.co.th
EPG,EASTERN POLYMER GROUP PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,"770 Theparak Road, Theparak sub-district, Mueang district Samut Prakarn",10270,0-2383-6599,0-2383-6532,www.epg.co.th
ERW,THE ERAWAN GROUP PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,"PLOENCHIT CENTER, FLOOR 6, 2 SUKHUMVIT ROAD, KHLONG TOEI Bangkok",10110,0-2257-4588,0-2257-4577,http://www.theerawan.com
ERWPF,ERAWAN HOTEL GROWTH PROPERTY FUND,SET,Property & Construction,Property Fund & REITs,"7-8th Floor, SCB Park Plaza 1, 18 Ratchadapisek Rd., Chatuchak Bangkok",10900,0-2949-1500,0-2949-1501,www.scbam.com
ESSO,ESSO (THAILAND) PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"3195/17-29 RAMA IV ROAD, KLONGTON SUB-DISTRICT, KLONGTOEY DISTRICT Bangkok",10110,0-2262-4000,0-2262-4800,http://www.esso.co.th
ESTAR,EASTERN STAR REAL ESTATE PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"PLOENCHIT TOWER, FLOOR 5, 898 PLOENCHIT ROAD, LUMPINI, PATHUM WAN Bangkok",10330,0-2263-1010,0-2263-1009,www.estarpcl.com
ETC,EARTH TECH ENVIRONMENT PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"88, 88/1, Moo. 1, Ban That Sub-District, Kaeng Khoi District Saraburi",18110,0-3620-0294,0-3620-0295,http://www.etcenvi.com
ETE,EASTERN TECHNICAL ENGINEERING PUBLIC COMPANY LIMITED,mai,Services,-,"59/21-22 M. 1, Leangmuang Road, Bangkung, Muang, Surat Thani",84000,0-7729-5316-8,0-7729-5320,www.eastern-groups.com
EVER,EVERLAND PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"223/96 Country Tower 21th Fl., Sanphawut Road, Bangna Bangkok",10260,0-2361-6156-60,0-2720-7598-9,www.everland.co.th
F&D,FOOD AND DRINKS PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"15th Floor, Regent House Bldg., 183 Rajdamri Rd., Lumpini, Patumwan Bangkok",10330,0-2253-5232-33,-,www.foodanddrinks.co.th
FANCY,FANCY WOOD INDUSTRIES PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,"Fancy Wood Industries PCL., Branch 2, No. 22 Soi Praditmanutham 23, Praditmanutham Road, Latphrao Sub-district, Latphrao District Bangkok",10230,"0-2578-2823 , 0-2578-2824",0-2578-2522,http://www.fancywood.th.com
FE,FAR EAST FAME LINE DDB PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"465/1-467 SI AYUTTHAYA ROAD, THUNGPHYATHAI, RATCHATHEWI Bangkok",10400,0-2354-3333,0-2644-9550-2,www.fareastfamelineddb.com
FLOYD,FLOYD PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"31/4 Moo 2 Soi Wat-Som-Kliang Kanchanaphisek Rd. Bang-Mae-Nang, Bang-Yai District Nonthaburi",11140,"0-2191-6258, 0-2191-6260",0-2191-6262,www.floyd.co.th
FMT,FINE METAL TECHNOLOGIES PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,"183 Regent House Building, 14th Floor, Rajdamri Road, Lumpini, Pathumwan Bangkok",10330,0-2256-0641-50,0-2256-0651-2,www.fmt.co.th
FN,FN FACTORY OUTLET PUBLIC COMPANY LIMITED,SET,Services,Commerce,"991 FN Building Rama 9, Suan Luang Bangkok",10250,0-2300-4951,0-2300-4681,www.fnoutlet.com
FNS,FNS HOLDINGS PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"345 Surawong Road 6th Fl., 345 Surawong Building Suriyawong, Bangrak Bangkok",10500,0-2697-3700,0-2697-3779,www.fnsplc.com
FORTH,FORTH CORPORATION PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"1053/1 Phaholyothin Road, Phayathai, Phayathai Bangkok",10400,"0-2265-6700, 0-2271-2888","0-2265-6799, 0-2279-4888",http://www.forth.co.th
FPI,FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED,mai,Industrial,-,"11/22 Moo 20 Nimitmai Road, Lamlukka Pathum Thani",12150,0-2993-4970-7,0-2993-4978-9,http://www.fpiautoparts.com
FPT,FRASERS PROPERTY (THAILAND) PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"No.944 Mitrtown Office Tower, 22nd - 23rd Floor, Rama 4 Road, Wang Mai Sub-district, Pathum Wan District Bangkok",10330,0-2483-0000,0-2078-1970,https://www.frasersproperty.co.th
FSMART,FORTH SMART SERVICE PUBLIC COMPANY LIMITED,mai,Services,-,"256 Phaholyothin Road, Samsennai, Phayathai Bangkok",10400,0-2278-1777,0-2279-7195,www.boonterm.com
FSS,FINANSIA SYRUS SECURITIES PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"999/9 The Offices at Centralworld, 18th Floor, Rama 1 Rd., Pathumwan, Pathumwan Bangkok",10330,0-2658-9000,0-2658-9501,www.fnsyrus.com
FTE,FIRETRADE ENGINEERING PUBLIC COMPANY LIMITED,SET,Services,Commerce,"No. 1198/5 Rama 9 Road, Phatthanakan Sub-district, Suanluang District Bangkok",10250,0-2026-0470-92,0-2026-0499,www.firetrade.co.th
FTI,Function International Public Company Limited,SET,Consumer Products,Home & Office Products,"No. 313 Charoen Phattana Rd., Bang Chan Sub-District, Klong Sam Wa District Bangkok",10510,0-2540-6263,0-2907-4100,www.functioninter.co.th
FTREIT,FRASERS PROPERTY THAILAND INDUSTRIAL FREEHOLD & LEASEHOLD REIT,SET,Property & Construction,Property Fund & REITs,"No.944 Mitrtown Office Tower, 22nd - 23rd Floor, Rama 4 Road, Wang Mai Sub-district, Pathum Wan District Bangkok",10330,0-2483-0000,0-2483-0592,www.ftreit.co.th
FUTUREPF,FUTURE PARK LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund & REITs,"175 Sathorn City Tower, 7th, 21st and 26th Floor, South Sathorn Road, Thung Mahamek Sub-district, Sathorn District Bangkok",10120,0-2674-6488,0-2679-5996,http://investor.futurepark.co.th
FVC,FILTER VISION PUBLIC COMPANY LIMITED,mai,Services,-,"95 Soi Ramintra 117, Ramintra Road, Minburi, Minburi Bangkok",10510,0-2518-2722,0-2518-2723,http://www.filtervision.co.th
GAHREIT,GRANDE HOSPITALITY REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"9th and 24th Floor, Siam Piwat Tower Building, 989 Rama 1 Road, Patumwan Bangkok",10330,0-2659-8888,0-2659-8860,www.one-asset.com
GBX,GLOBLEX HOLDING MANAGEMENT PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"C R C TOWER, ALL SEASONS PLACE, FLOOR 12, 87/2, WIRELESS ROAD, LUMPINI, PATHUM WAN Bangkok",10330,0-2672-5999,0-2687-7009,www.globlexholding.co.th
GC,GLOBAL CONNECTIONS PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,"13/1 MOO 2 KINGKAEW ROAD, TAMBOL RACHATEVA, AMPHOE BANG PHLI Samut Prakarn",10540,"0-2763-7921, 0-2763-7999, 0-2763-7923-42","0-2763-7950, 0-2312-4880-1",www.gc.co.th
GCAP,G CAPITAL PUBLIC COMPANY LIMITED,mai,Financials,-,"161/1 SG Tower 8th Floor Soi Mahadleklung 3 Rajdamri Rd., Lumpini ,Pathumwan Bangkok",10330,0-2651-9995,0-2651-9553,www.gcapital.co.th
GEL,GENERAL ENGINEERING PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,"44/2 MOO 2, TIWANON ROAD, BANG KADI, AMPHOE MUANG Pathum Thani",12000,"0-2501-1055, 0-2501-2462-7, 0-2501-2020","0-2501-2134, 0-2501-2468",www.gel.co.th
GENCO,"GENERAL ENVIRONMENTAL CONSERVATION PUBLIC CO., LTD.",SET,Services,Professional Services,"447 BOND STREET ROAD BANGPOOD, PAK KRET Nonthaburi",11120,0-2502-0900,0-2502-0999,http://www.genco.co.th
GFPT,GFPT PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,"312 Rama 2 Road, Bangmod, Jomthong Bangkok",10150,0-2473-8000,"0-2473-8392, 0-2473-8384",www.gfpt.co.th
GGC,GLOBAL GREEN CHEMICALS PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,"555/1 Energy Complex Building A, Vibhavadi-Rangsit Road, Chatuchak Bangkok",10900,0-2558-7300,0-2558-7301,http://www.ggcplc.com
GIFT,GRATITUDE INFINITE PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,"9/8 Moo 5, Baromratchonnani Road, Salathammasop, Taweewattana Bangkok",10170,0-2888-6800,0-2888-7200,www.gratitudeinfinite.co.th
GJS,G J STEEL PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"88 PASO Tower, 24th Floor, Silom Road, Suriyawongse, Bangrak Bangkok",10500,0-2267-8222,0-2267-9048,www.gjsteel.co.th
GL,GROUP LEASE PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"63 SOI 1, THETSABANNIMITAI ROAD, LADYAO, CHATUCHAK Bangkok",10900,0-2580-7555,0-2954-2902-3,https://grouplease.international
GLAND,GRAND CANAL LAND PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"No. 161 Rama 9 Road, Huay Kwang Sub District, Huay Kwang District Bangkok",10310,0-2246-2323,0-2247-1082,http://www.grandcanalland.com
GLOBAL,SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,SET,Services,Commerce,"232 Moo 19, Rob Muang, Muang Roi Et",45000,0-4361-9850-99,0-4351-9777,www.globalhouse.co.th
GLOCON,GLOBAL CONSUMER PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"60 2nd floor, Soi Praditmanutham 19 Praditmanutham Rd., Lat Phrao, Lat Phrao Bangkok",10230,0-2712-5487-88,0-2712-5750,www.glocon.co.th
GLORY,GLORY FOREVER PUBLIC COMPANY LIMITED,mai,Services,-,"20 Moo 6, Tambon Phanthai Norasing, Amphoe Mueang Samut Sakhon Samut Sakhon",74000,0-9876-5430-0,-,https://www.glory.in.th
GPI,GRAND PRIX INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"4/299 Moo 5, Soi Ladplakhao 66, Ladplakhao Rd., Anusawaree, Bangkhen Bangkok",10220,0-2522-1731-8,0-2971-6462,www.grandprix.co.th
GPSC,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"555/2 Energy Complex Building B, 5th Floor, Vibhvadi - Rangsit Road, Chatuchak Sub-district, Chatuchak District Bangkok",10900,0-2140-4600,0-2140-4601,http://www.gpscgroup.com
GRAMMY,GMM GRAMMY PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"GMM GRAMMY PLACE TOWER, 50 SUKHUMVIT 21 ROAD (ASOKE), KLONGTOEY NUA, WATTHANA Bangkok",10110,0-2669-9000,0-2669-9009,www.gmmgrammy.com
GRAND,GRANDE ASSET HOTELS AND PROPERTY PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,"Unit 3203-4,32nd Floor,Exchange Tower,388 Sukhumvit Road., Klongtoey Sub-district, Klongtoey District Bangkok",10110,0-2204-9900,0-2204-9996-9,http://www.grandeasset.com
GREEN,GREEN RESOURCES PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"405 Bonstreet Rd. Soi 13, Tumbon Bangpud, Amphur Parkred Nonthaburi",11120,0-2504-5237-39,-,www.greenresources.co.th
GROREIT,GRANDE ROYAL ORCHID HOSPITALITY REAL ESTATE INVESTMENT TRUST WITH BUY-BACK CONDITION,SET,Property & Construction,Property Fund & REITs,"9th and 24th Floor, Siam Piwat Tower Building, 989 Rama 1 Road, Pathumwan Bangkok",10330,0-2659-8888,0-2659-8860,www.one-asset.com
GSC,GLOBAL SERVICE CENTER PUBLIC COMPANY LIMITED,mai,Services,-,"2991/14-15 Wisut Thani Building, Ladproa Road, Khlongjan Sub-District, Bangkapi District Bangkok",10240,0-2793-3999,0-2793-3944,www.gsc-servicecenter.com
GSTEEL,G STEEL PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"88 PASO Tower, 18th Floor, Silom Road, Suriyawong, Bangrak Bangkok",10500,0-2634-2222,0-2634-4114,www.gsteel.com
GTB,GETABEC PUBLIC COMPANY LIMITED,mai,Industrial,-,"335/7 Srinakarin Road, Nongbon, Pravej Bangkok",10250,0-2366-0400,0-2366-0399,http://www.getabecboiler.com
GTV,GREEN TECH VENTURES PUBLIC COMPANY LIMITED,mai,Resources,-,"127, Gaysorn Tower Building, Floor 28, Room no. A,B,D, Ratchadamri Rd., Lumpini, Pathumwan Bangkok",10330,0-2677-7151,0-2677-7152,http://www.unitedpowerofasia.com
GULF,GULF ENERGY DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"87 M Thai Tower 11th floor All Seasons Place, Wireless Road, Lumpini, Pathumwan Bangkok",10330,0-2080-4499,0-2080-4455,www.gulf.co.th
GUNKUL,GUNKUL ENGINEERING PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"1177 PEARL BANGKOK BUILDING FL.8 Phahonyothin Rd, Phaya Thai, Phaya Thai Bangkok",10400,0-2242-5800,0-2242-5818-9,http://www.gunkul.com
GVREIT,GOLDEN VENTURES LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"22nd Floor, Mitrtown Office Tower, 944 Rama 4 Road, Wangmai, Pathumwan Bangkok",10330,0-2483-0000,-,www.gvreit.com
GYT,GOODYEAR (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"50/9 Moo 3, Paholyothin Road KM 36, Klong Nueng Sub-District, Klong Luang District Pathum Thani",12120,0-2909-8080,0-2909-8068,www.goodyear.co.th
HANA,HANA MICROELECTRONICS PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,"65/98 Soi Vibhavadi-Rangsit 64, Junction 2, Kwang Talad Bangkhen, Khet Laksi Bangkok",10210,"0-2551-1297, 0-2521-4935-9","0-2551-1299 , 0-2552-4906",www.hanagroup.com
HARN,HARN ENGINEERING SOLUTIONS PUBLIC COMPANY LIMITED,mai,Services,-,"559 Soi Soonvijai 4, Rama 9 Road, Bangkapi, Huaykwang Bangkok",10310,0-2318-9744,0-2318-9744 Ext. 4000,www.harn.co.th
HEMP,HEALTH EMPIRE CORPORATION PUBLIC COMPANY LIMITED,mai,Services,-,"Major Tower Rama 9 - Ramkhamhaeng, FL. 20 OFFICE 2 51 Rama 9 RD., Huamark Sub-District, Bangkapi District Bangkok",10240,0-2514-5000,-,https://www.hempcorp.co.th
HENG,HENG LEASING AND CAPITAL PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"69 Moo 7, San Sai Noi Subdistrict, Sansai District Chiang Mai",50210,1361 ˃׍ 0-2153-9587,0-5335-0490,https://www.hengleasing.com/
HFT,HWA FONG RUBBER (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"317 SOI 6C MOO 4 BANGPU INDUSTRIAL ESTATE TOMBOL PRAKSA, AMPHOE MUEANG Samut Prakarn",10280,0-2709-6580,"0-2324-0483-4, 0-2709-6589",www.duro.co.th
HL,HEALTHLEAD PUBLIC COMPANY LIMITED,mai,Services,-,"99/4, Moo 10, Bang Muang Sub-District, Bang-Yai District Nonthaburi",11140,0-2118-0884,-,www.healthleadgroup.com
HMPRO,HOME PRODUCT CENTER PUBLIC COMPANY LIMITED,SET,Services,Commerce,"31 Prachachuennonthaburi Rd., Bangkhen, Amphoe Muang Nonthaburi",11000,0-2832-1000,0-2832-1400,www.homepro.co.th
HPF,HEMARAJ INDUSTRIAL PROPERTY AND LEASEHOLD FUND,SET,Property & Construction,Property Fund & REITs,"199 Column Tower Ground floor & 21st - 23rd floor, Ratchadapisek road, Klongtoey Bangkok",10110,0-2649-2000,0-2649-2100,www.mfcfund.com
HPT,HOME POTTERY PUBLIC COMPANY LIMITED,mai,Consumer Products,-,"119 Moo 15 Sopprap Lampang-Tak Road, Tambol Sopprab, Amphur Sopprab Lampang",52170,0-5485-8996,0-5429-6556,www.homepottery.com
HTC,HAAD THIP PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"36/6 Soi Ramkhamhaeng 21 (Navasri), Yaek 5, Phlabphla, Wang Thonglang Bangkok",10310,0-2391-4488,0-2392-9985,http://www.haadthip.com
HTECH,HALCYON TECHNOLOGY PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,"41 Mu.14 Bangchan Industrial Estate Soi 6, Serithai Road, Minburi Bangkok",10510,0-2906-3259-60,0-2906-3261,www.halcyon.co.th
HUMAN,HUMANICA PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"No. 2 Soi Rongmuang 5, Rongmuang Road, Rongmuang Sub-District, Pathumwan District Bangkok",10330,0-2636-6999,0-2092-9202,www.humanica.com
HYDRO,HYDROTEK PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"14th Floor,TP&T Tower 1 Soi Vibhavadee-Rangsit19, Chatuchak Bangkok",10900,0-2936-1661-2,0-2936-1669,www.hydrotek.co.th
HYDROGEN,Hydrogen Freehold and Leasehold Real Estate Investment Trust,SET,Property & Construction,Property Fund & REITs,"944 Mitrtown Office Tower, 29 Floor, Room No. 2907-2910, Rama 4 Road, Wang Mai, Pathumwan Bangkok",-,0-2219-1675,-,www.hydrogenreit.com
ICC,I.C.C. INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Services,Commerce,"530 Soi Sathupradit 58 Bangpongpang Subdistrict, Yannawa District Bangkok",10120,"0-2293-9000, 0-2293-9300",0-2294-3024,http://www.icc.co.th
ICHI,ICHITAN GROUP PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"No. 8 T-ONE Building, 42nd - 44th Floors, Soi Sukhumvit 40, Phra Khanong, Khlong Toei Bangkok",10110,0-2023-1111,0-2020-3999,www.ichitangroup.com
ICN,INFORMATION AND COMMUNICATION NETWORKS PUBLIC COMPANY LIMITED,mai,Technology,-,"393 DKJ Bldg. 5 Fl. Sukhonthasawat Rd., Lat Phrao, Lat Phrao Bangkok",10230,0-2553-0755-6,0-2553-0757,www.icn.co.th
IFEC,INTER FAR EAST ENERGY CORPORATION PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"No. 33/4, The Nine Tower, 29 th Floor, Rama IX Road., Huai Khwang Sub-district, Huai Khwang District Bangkok",10310,0-2168-1378-86,0-2168-1387,www.ifec.co.th
IFS,IFS CAPITAL (THAILAND) PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"20th Floor Lumpini Tower, 1168/55 Rama 4 Road, Tungmahamek, Sathorn Bangkok",10120,0-2285-6326-32,"0-2285-6335, 0-2679-9159",http://www.ifscapthai.com
IHL,INTERHIDES PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"678 SOI T.J.C., SUKHUMVIT ROAD, BANGPOOMAI, AMPHOE MUEANG Samut Prakarn",10280,0-2028-9728-37,0-2028-9738-39,http://www.interhides.com
IIG,I&I GROUP PUBLIC COMPANY LIMITED,mai,Technology,-,"475 Siripinyo Building, Unit 1801, 18th floor, Sri Ayutthaya Road, Thanon Phayathai Sub-district, Ratchatewi District Bangkok",10400,0-2248-3746,0-2248-3747,www.ii.co.th
III,TRIPLE I LOGISTICS PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"628 3rd Floor, Triple i Building, Soi Klab Chom, Nonsee Road, Chongnonsee, Yannawa Bangkok",10120,0-2681-8700,0-2681-8701,http://www.iii-logistics.com
ILINK,INTERLINK COMMUNICATION PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"48 Interlink building Soi Rung-Rueng, Ratchadapisek Road., Samsennok, Huay Khwang Bangkok",10310,0-2666-1111,0-2666-1193,http://www.interlink.co.th
ILM,INDEX LIVING MALL PUBLIC COMPANY LIMITED,SET,Services,Commerce,"147 Soi Rama 2 Soi 50, Rama 2 Road, Samaedam, Bangkhunthien Bangkok",10150,0-2898-6420-5,0-2898-6940,www.indexlivingmall.com
IMH,INTERMEDICAL CARE AND LAB HOSPITAL PUBLIC COMPANY LIMITED,mai,Services,-,"442 Bangwaek Road, Bangwaek Sub district, Phasi Charoen District Bangkok",10160,0-2865-0044-49,0-2410-4284,http://www.intermedthai.com/
IMPACT,IMPACT GROWTH REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"No.47/569-576 Moo 3, Floor 10, New Geneva Industry Condominium Popular Road 3, Banmai Subdistrict, Pakkred District Nonthaburi",11120,0-2833-4455,0-2833-4456,www.impactgrowthreit.com
IND,INDEX INTERNATIONAL GROUP PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"1/814 Moo 17, Soi Amphon, Phaholyothin Rd., Khukot, Lamlukka Pathum Thani",12130,0-2532-3623,0-2532-3566,www.index.co.th
INET,INTERNET THAILAND PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"THAI SUMMIT TOWER, FLOOR 10-12 AND IT, 1768 NEW PETCHBURI ROAD, BANGKAPI, HUAI KHWANG Bangkok",10310,0-2257-7000,0-2257-7222,www.inet.co.th
INETREIT,INET LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"1768 Thai Summit Tower, 24th Floor, New Petchaburi Road, Bang Kapi Sub-district, Huay Khwang District Bangkok",10310,0-2257-7000,0-2257-1379,www.inetreit.com
INGRS,INGRESS INDUSTRIAL (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"No. 9/141, Floor 14, UM Tower Building, Unit A1, Ramkamhang Road, Suan Luang Sub-District, Suan Luang District Bangkok",10250,0-2719-9644-46,0-2719-9647,http://www.ingress.co.th
INOX,POSCO-THAINOX PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"622 Emporium Tower, Floor 15/6-8, Sukhumvit Road, Klongton, Klongtoey Bangkok",10110,0-2494-3130-49,0-2494-3178-9,www.poscothainox.com
INSET,INFRASET PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"165/37-39 Ramindra Road, Anusaowaree sub-district, Bangkaen district Bangkok",10220,0-2092-7444,0-2092-7448,www.infraset.co.th
INSURE,INDARA INSURANCE PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"364/29 SI AYUTTHAYA ROAD, RAJ DHEWI Bangkok",10400,"0-2247-9261-75, 0-2247-6570","0-2247-9260, 0-2642-4454",www.indara.co.th
INTUCH,INTOUCH HOLDINGS PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"87 M. Thai Tower, 27th Floor Unit 2, All Seasons Place, Wireless Road, Lumpini, Pathumwan Bangkok",10330,0-2118-6900,0-2118-6947,www.intouchcompany.com
IP,INTER PHARMA PUBLIC COMPANY LIMITED,mai,Consumer Products,-,"140/9 ITF Tower, 9th Floor, Silom Road, Suriyawong Sub-District, Bang Rak District Bangkok",10500,0-2634-0225,0-2634-0135,www.interpharma.co.th
IRC,INOUE RUBBER (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"258 SOI RANGSIT-NAKHONNAYOK 49, TAMBOL PRACHATHIPAT THANYABURI Pathum Thani",12130,0-2996-0890-7 (23 Lines),"0-2996-1439, 0-2996-0294",www.ircthailand.com
IRCP,"INTERNATIONAL RESEARCH CORPORATION PUBLIC CO., LTD.",mai,Technology,-,"199 Column Tower, 7th Floor Ratchadapisek Road, Khlong Toei Subdistrict Khlong Toei District Bangkok",10110,0-2171-8601,0-2171-8602,www.ircp.co.th
IRPC,IRPC PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"555/2, Energy Complex, Building B, 6th Floor, Vibhavadi Rangsit Road, Chatuchak Bangkok",10900,0-2765-7000,0-2765-7001,https://www.irpc.co.th
IT,IT CITY PUBLIC COMPANY LIMITED,SET,Services,Commerce,"No.555 The Palladium World Shopping Mall, B1, B2,5th Floor, Ratchaprarop Road, Makkasan, Ratchathevee Bangkok",10400,0-2656-5030-39,-,www.itcity.co.th
ITC,i-Tail Corporation Public Company Limited,SET,Agro & Food Industry,Food & Beverage,"979-92/94 29th Floor, S.M.Tower, Phaholyothin Road, Phayathai Bangkok",10400,"0-2298-0029,0-2298-0433-9",0-2298-0442,www.i-tail.com
ITD,ITALIAN-THAI DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"ITALTHAI TOWER, 2034/132-161 NEW PETCHBURI RD, HUAI KHWANG Bangkok",10320,0-2716-1600,0-2716-1488,http://www.itd.co.th
ITEL,INTERLINK TELECOM PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"48/66 Soi Rung Rueang, Ratchadapisek Road, Samsennok, Huai Kwang Bangkok",10310,0-2666-2222,0-2666-2299,www.interlinktelecom.co.th
ITNS,INTERNATIONAL NETWORK SYSTEM PUBLIC COMPANY LIMITED,mai,Technology,-,"No. 3300/106-107, Elephant Building, Building B, 20th Floor, Phahonyothin Road, Chomphon, Chatuchak Bangkok",10900,0-2513-7637,0-2513-7686,https://www.itns.co.th
ITTHI,ITTHIRIT NICE CORPORATION PUBLIC COMPANY LIMITED,mai,Consumer Products,-,"89/18-19 Moo 5, Phanthai Norasing, Mueang Samut Sakhon Samut Sakhon",74000,"0-3487-2577,0-3444-6258,0-3444-6265","0-3487-2566,0-3444-6267",www.lighttrio.com
IVL,INDORAMA VENTURES PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,"75/102 Ocean Tower 2, 37th Floor, Soi Sukhumvit 19, Asoke road, Kwaeng Klongtoey Nuer, Khet Wattana Bangkok",10110,0-2661-6661,0-2661-6664-5,www.indoramaventures.com
J,JAS ASSET PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"87, The Jas Ramintra Building, 3rd Floor, Room A315, Lad pla khao Road, Anusawari Sub-district, Bang Khen District Bangkok",10220,0-2012-1277,-,http://www.jasasset.co.th
JAK,JAKPAISAN ESTATE PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"153/3, Moo 6, Bangpoon, Amphue Muang Pathum Thani",12000,0-2157-1958,0-2157-1959,www.jakpaisanestate.com
